,ticker,company_name,date,close,high,low,open,volume
0,AAPL,Apple Inc.,2024-04-29,172.68460083007812,175.20270935632288,172.28648678772151,172.55520693212748,68169400
1,AAPL,Apple Inc.,2024-04-30,169.52951049804688,174.1676137755898,169.20105955998108,172.51541154910535,65934800
2,AAPL,Apple Inc.,2024-05-01,168.5043487548828,171.89832652202932,168.31523926242042,168.78303163206596,50383100
3,AAPL,Apple Inc.,2024-05-02,172.21681213378906,172.60497864880503,170.08687006909776,171.69925171807526,94214900
4,AAPL,Apple Inc.,2024-05-03,182.51817321777344,186.12115543095717,181.80155578938326,185.7727942523785,163224100
5,AAPL,Apple Inc.,2024-05-06,180.8560333251953,183.3343214775735,179.5720873686165,181.4930249418685,78569700
6,AAPL,Apple Inc.,2024-05-07,181.5427703857422,184.0310211595987,180.46785941606433,182.58783874817743,77305800
7,AAPL,Apple Inc.,2024-05-08,181.8811798095703,182.20963072654146,180.5972339353124,181.9906634485607,45057100
8,AAPL,Apple Inc.,2024-05-09,183.7025909423828,183.79216432803474,181.25414542501753,181.70202754035518,48983000
9,AAPL,Apple Inc.,2024-05-10,182.43682861328125,184.46998840191682,181.51991222172592,184.28062242398164,50759500
10,AAPL,Apple Inc.,2024-05-13,185.65602111816406,186.47328168344126,184.00157793065927,184.81883849593646,72044800
11,AAPL,Apple Inc.,2024-05-14,186.8021697998047,187.66926595480425,185.6659889969534,186.8819036535792,52393600
12,AAPL,Apple Inc.,2024-05-15,189.08450317382812,190.0113806876588,186.74236879853999,187.28056849688068,70400000
13,AAPL,Apple Inc.,2024-05-16,189.2041015625,190.45989075478766,189.02471179656044,189.83199615864385,52845200
14,AAPL,Apple Inc.,2024-05-17,189.2340087890625,190.17086260921994,188.5463175718117,188.87521403256983,41282900
15,AAPL,Apple Inc.,2024-05-20,190.40008544921875,191.27714266640717,188.37688635675946,188.69582178398366,44361300
16,AAPL,Apple Inc.,2024-05-21,191.70570373535156,192.08442053272114,190.28048580582154,190.44991454290118,42309400
17,AAPL,Apple Inc.,2024-05-22,190.26055908203125,192.17414127105863,189.63267965869522,191.6259804985601,34648500
18,AAPL,Apple Inc.,2024-05-23,186.25401306152344,190.36020743395642,186.0048504863481,190.34027016979292,51005900
19,AAPL,Apple Inc.,2024-05-24,189.3436279296875,189.94162421863646,187.41012383078694,188.1875250894915,36294600
20,AAPL,Apple Inc.,2024-05-28,189.35360717773438,192.35351928350596,188.4665889665476,190.868504773859,52280100
21,AAPL,Apple Inc.,2024-05-29,189.652587890625,191.6060292626522,188.8752018363686,188.97487295416659,53068000
