,date,close,high,low,open,volume,ticker,daily_return_pct,intraday_return_pct,7day_ma,30day_ma,day_of_week
0,2025-04-25,209.27999877929688,209.75,206.1999969482422,206.3699951171875,38198600,AAPL,0.0043672490446504675,1.4100904835787418,200.91428702218192,206.95633494059246,Friday
1,2025-04-25,186.05999755859375,188.6999969482422,179.99000549316406,187.1199951171875,10481100,ABBV,0.03154628039829688,-0.5664801123631422,176.01285661969865,191.43189086914063,Friday
2,2025-04-25,128.85000610351562,129.52999877929688,127.23999786376953,129.27000427246094,4849100,ABT,-0.0040964504505695,-0.32489994203147626,130.0528564453125,127.79806976318359,Friday
3,2025-04-25,293.3900146484375,294.010009765625,289.0199890136719,291.5199890136719,2919200,ACN,0.006794588248329125,0.6414742402717103,286.24857439313615,298.5627888997396,Friday
4,2025-04-25,367.7200012207031,369.30999755859375,359.989990234375,361.70001220703125,3497900,ADBE,0.01886896314730424,1.6643596379604573,352.3871416364397,370.42266743977865,Friday
5,2025-04-25,81.22000122070312,82.33000183105469,80.79000091552734,82.05999755859375,2657600,AIG,-0.014918080934692934,-1.0236368058515208,81.20714242117745,82.71533279418945,Friday
6,2025-04-25,96.6500015258789,97.0999984741211,92.8499984741211,93.27999877929688,28529100,AMD,0.023076111749832817,3.612781722430715,89.87428610665458,97.51133346557617,Friday
7,2025-04-25,280.8399963378906,282.19000244140625,276.44000244140625,279.4700012207031,1994600,AMGN,0.0035734706013665907,0.4902118693253188,278.6557137625558,297.75600179036456,Friday
8,2025-04-25,210.82000732421875,211.7899932861328,208.4499969482422,211.47999572753906,2464500,AMT,-0.00042670492782692637,-0.3120807720133542,216.27857535226005,213.66160380045574,Friday
9,2025-04-25,188.99000549316406,189.94000244140625,185.49000549316406,187.6199951171875,36364100,AMZN,0.013133978209558528,0.7302048884080046,177.6528581891741,187.12100016276042,Friday
10,2025-04-25,192.30999755859375,193.3699951171875,186.88999938964844,186.9199981689453,21225300,AVGO,0.022110038783196062,2.8835862628121545,176.96571568080358,176.9334706624349,Friday
11,2025-04-25,264.80999755859375,268.8599853515625,264.0,267.0,1939400,AXP,-0.009389532009778545,-0.8202256334854869,255.91857256208147,259.6333017985026,Friday
12,2025-04-25,177.9499969482422,180.3300018310547,175.86000061035156,176.5,7638100,BA,0.00958812262609432,0.8215280160012394,166.68714032854353,164.36899973551434,Friday
13,2025-04-25,39.689998626708984,39.790000915527344,39.31999969482422,39.540000915527344,32688500,BAC,0.0027791003174737483,0.37935687331442774,38.285714285714285,39.43400001525879,Friday
14,2025-04-25,78.6500015258789,79.16000366210938,78.16999816894531,78.70999908447266,2508000,BK,-0.0008892237517624801,-0.07622609489470301,76.65482221330915,79.57099812825521,Friday
15,2025-04-25,4838.43994140625,4878.41015625,4793.5498046875,4828.6201171875,189600,BKNG,0.0021685565769047344,0.20336708998490646,4649.6142578125,4582.559977213542,Friday
16,2025-04-25,907.6900024414062,918.27001953125,899.3599853515625,913.25,444400,BLK,-0.0093532482405414,-0.6088144055399671,885.6100027901786,911.2166687011719,Friday
17,2025-04-25,47.900001525878906,48.95000076293945,46.959999084472656,48.869998931884766,16295100,BMY,-0.016225038470153552,-1.9848525213962995,48.92428534371512,54.98212229410807,Friday
18,2025-04-25,530.9600219726562,532.4400024414062,526.7899780273438,531.75,2735700,BRK-B,-0.001279047206841466,-0.14856192333685944,521.682865687779,522.207666015625,Friday
19,2025-04-25,68.43000030517578,68.70999908447266,67.76000213623047,67.86000061035156,12248600,C,0.003961218142018774,0.8399641757994168,65.06857245309013,67.02033398946126,Friday
20,2025-04-25,306.45001220703125,307.989990234375,303.9100036621094,305.1000061035156,2162400,CAT,-0.0013360267356512523,0.44247986775116266,295.22566877092635,312.44891866048175,Friday
21,2025-04-25,373.6499938964844,374.2099914550781,356.45001220703125,359.5,2701700,CHTR,0.11427551623379961,3.936020555350313,338.817138671875,352.3286641438802,Friday
22,2025-04-25,93.91000366210938,95.80999755859375,91.83999633789062,95.48999786376953,9598500,CL,0.013052931539391244,-1.654617485607497,94.211427961077,91.97253494262695,Friday
23,2025-04-25,33.900001525878906,33.939998626708984,33.130001068115234,33.52000045776367,29363000,CMCSA,0.0213920737736506,1.1336547223322642,33.84571402413504,35.02835833231608,Friday
24,2025-04-25,182.72999572753906,186.63999938964844,182.52999877929688,184.69000244140625,3464000,COF,-0.01253719149396526,-1.0612413709231545,171.77571541922433,170.3490005493164,Friday
25,2025-04-25,91.72000122070312,92.01000213623047,90.61000061035156,90.6500015258789,4736600,COP,-0.0008714796121475077,1.1803636809854368,89.44285910470145,94.77900034586588,Friday
26,2025-04-25,977.1599731445312,978.3200073242188,962.8800048828125,973.969970703125,1780200,COST,0.0017222215826242504,0.3275257489821103,975.3899972098214,944.1443318684895,Friday
27,2025-04-25,267.8500061035156,269.0299987792969,264.20001220703125,264.7200012207031,5649700,CRM,0.011900240843285781,1.1823832231713172,251.3971426827567,263.73451029459636,Friday
28,2025-04-25,56.709999084472656,56.779998779296875,56.06999969482422,56.209999084472656,16493500,CSCO,0.007461328159784397,0.8895214519548339,55.65142822265625,58.16929931640625,Friday
