,date,close,high,low,open,volume,ticker,company_name,daily_return_pct,intraday_return_pct,7day_ma,30day_ma,day_of_week
0,2025-05-01,213.32000732421875,214.55999755859375,208.89999389648438,209.0800018310547,57365700,AAPL,Apple Inc.,0.0038588579963234615,2.0279345016412247,209.91714477539062,206.68133494059245,Thursday
1,2025-05-01,193.33999633789062,195.82000732421875,189.8000030517578,192.8800048828125,5823600,ABBV,AbbVie,-0.009021064636416165,0.2384858167945405,188.2528555733817,189.09038289388022,Thursday
2,2025-05-01,130.8800048828125,131.6300048828125,128.0,129.5,6769100,ABT,Abbott Laboratories,0.0009943012069790758,1.0656408361486487,129.961430140904,128.32915725708008,Thursday
3,2025-05-01,300.5299987792969,304.760009765625,298.5,300.80999755859375,2848600,ACN,Accenture,0.00461308678244543,-0.09308160685129323,294.90857369559154,295.3864685058594,Thursday
4,2025-05-01,374.6300048828125,380.44000244140625,374.07000732421875,378.29998779296875,2848800,ADBE,Adobe Inc.,-0.0009333993633287019,-0.9701250405973347,367.1142883300781,367.6183349609375,Thursday
5,2025-05-01,80.83999633789062,81.41000366210938,80.3499984741211,80.5999984741211,5974900,AIG,American International Group,-0.00834151537264105,0.29776410460676295,81.65857042585101,82.44733250935873,Thursday
6,2025-05-01,96.6500015258789,100.0999984741211,96.44999694824219,99.2699966430664,29591500,AMD,AMD,-0.0071905183278279106,-2.6392618170502335,95.42285701206752,96.54966659545899,Thursday
7,2025-05-01,283.7799987792969,287.8800048828125,282.07000732421875,287.0400085449219,2942700,AMGN,Amgen,-0.02454287886320039,-1.1357335801900268,283.5614275251116,293.7916687011719,Thursday
8,2025-05-01,224.02999877929688,225.83999633789062,223.07000732421875,224.8699951171875,2253000,AMT,American Tower,-0.006122198928141365,-0.3735475413039761,216.62857491629464,214.8874313354492,Thursday
9,2025-05-01,190.1999969482422,191.80999755859375,187.5,190.6300048828125,74266000,AMZN,Amazon (company),0.031341496782804956,-0.22557201046847514,186.54857090541296,186.04299977620443,Thursday
10,2025-05-01,197.3300018310547,201.39999389648438,196.24000549316406,198.13999938964844,24939700,AVGO,Broadcom,0.0252506914299786,-0.40880062636967346,190.11571393694197,176.98333282470702,Thursday
11,2025-05-01,268.5400085449219,272.6600036621094,266.5199890136719,268.0,2473800,AXP,American Express,0.007995213593833483,0.20149572571711755,265.5985761369978,259.86858723958335,Thursday
12,2025-05-01,182.88999938964844,184.75,182.02999877929688,182.85000610351562,7322900,BA,Boeing,-0.001910096556555052,0.021872182005928605,179.57285635811942,166.7883331298828,Thursday
13,2025-05-01,40.16999816894531,40.439998626708984,39.58000183105469,39.81999969482422,33569100,BAC,Bank of America,0.007271742554238125,0.8789514736399818,39.69142859322684,39.221666717529295,Thursday
14,2025-05-01,80.91000366210938,81.52999877929688,79.72000122070312,80.01000213623047,3275800,BK,BNY Mellon,0.0062181317899330235,1.1248612696528897,79.3385740007673,79.29086786905924,Thursday
